model,feature_type,target_name,fold,num_test_groups,spearman,spearman_pvalue,mae,mse,rmse,r2,num_features,dr_n_components
LinearRegression,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.4892319918819896,0.0015741883707744053,0.10539869444004239,0.01714290948420123,0.13093093402325223,0.17289085761833123,8,
Ridge,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.49555335420031227,0.0013376349603926785,0.10477823472841756,0.016990203557815466,0.13034647504944452,0.18025859574504344,8,
Lasso,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,,,0.1370590476410256,0.022168452004580976,0.1488907384781907,-0.0695809449578102,8,
ElasticNet,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,,,0.1370590476410256,0.022168452004580976,0.1488907384781907,-0.0695809449578102,8,
Huber,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.5032218920946709,0.001093244107393275,0.10332888677539127,0.016892113829928022,0.12996966503737717,0.184991217753239,8,
RandomForest,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.42798731761758463,0.006568333474722774,0.11014928703051283,0.019219433641577723,0.13863417198359762,0.07270295681156702,8,
XGBoost,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.40094017720640074,0.011421601709615427,0.11407371876634358,0.023936064899514324,0.15471284658849221,-0.15486453039227088,8,
LightGBM,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.3789708524279678,0.017351332114478663,0.11415014320965326,0.021992230052532927,0.14829777494127458,-0.06107860830593603,8,
KNN,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.39171720595507753,0.013658262656874752,0.11669513728717948,0.019801601262986062,0.14071816251993224,0.04461459978505489,8,
GradientBoosting,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.307985062459918,0.05646316137949899,0.12322493367900492,0.024909950794307807,0.15782886552943287,-0.2018524660144354,8,
KernelRidge,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.49555335420031227,0.0013376349603926785,0.1557920895221238,0.03580618439504803,0.18922522135024186,-0.7275727025357972,8,
GaussianProcess,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.41088855069097413,0.009366133071154756,0.11308747987352959,0.02178525159051037,0.14759827773558323,-0.051092335067269845,8,
SVR,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.45026752906741047,0.004024078559590458,0.12204143705703864,0.02257877010836103,0.15026233762443944,-0.08937792604984485,8,
MLP,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.38000714133261093,0.017022649631415483,0.1329045422765772,0.02752889753852166,0.16591834599742628,-0.32821110995094416,8,
TabPFN,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,3,1,0.4973150453382055,0.00127757921154927,0.09978543634656147,0.015951854038662564,0.12630064939921157,0.23035676496599533,8,
LinearRegression,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.6287854636032142,4.008002706308231e-05,0.09618567649845039,0.015428664811795821,0.12421217658424565,0.4056736775828277,8,
Ridge,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.6287854636032142,4.008002706308231e-05,0.09628368649787761,0.015420971605172674,0.12418120471783431,0.40597002695950446,8,
Lasso,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,,,0.14529282970277776,0.02596017599067171,0.16112161863223604,-9.794369409954484e-06,8,
ElasticNet,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,,,0.14529282970277776,0.02596017599067171,0.16112161863223604,-9.794369409954484e-06,8,
Huber,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.6340079342311478,3.30207644966292e-05,0.09513155137220998,0.01629432158523704,0.12764921302239604,0.3723277845382468,8,
RandomForest,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.5392200923341517,0.0006902147792867524,0.10924959724861111,0.019117507980108892,0.13826607675098362,0.2635760546880028,8,
XGBoost,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.4590551681953698,0.00485962440730258,0.121276630896951,0.022725503309050602,0.15074980367831528,0.12459276473352532,8,
LightGBM,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.5207138306516869,0.0011304857921478042,0.10952210199940245,0.019040912660768336,0.13798881353489614,0.2665265766556093,8,
KNN,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.5819886965582287,0.00019662677763104033,0.10300331462222222,0.01855280962160534,0.1362086987736295,0.2853287534975485,8,
GradientBoosting,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.5661158160680101,0.00031969147816818055,0.10227777792524431,0.017187776345184615,0.1311021599562136,0.33791108755227117,8,
KernelRidge,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.6287854636032142,4.008002706308231e-05,0.20886114186786087,0.057763950293689685,0.24034132040431516,-1.2251203564996636,8,
GaussianProcess,esm2_esm2_cls_ablang2_moe_tap_imputation,pr_cho,4,1,0.17625838369276142,0.3038058401850748,0.1511206294904034,0.04162441747593046,0.20402063002532478,-0.6034107463604548,8,
